respondent,sex,condition,exp_clock,trial_clock,block,block_nr,trial_nr,stim_id,event,value,responseTime
64,f,,1.1456897482275963e-05,6.7159999161958694e-06,Ratings,1,0,0,StartBlockRatings,,
64,f,,0.00688789039850235,6.320886313915253e-06,Ratings,1,1,microwaveoven.wav,DisplayFixation,,
64,f,,9.127743798308074,9.12086301879026,Ratings,1,1,microwaveoven.wav,valence_rating,0.18,6.29
64,f,,14.867962282849476,14.861081503331661,Ratings,1,1,microwaveoven.wav,arousal_rating,0.57,5.718
64,f,,14.87643436808139,6.7159999161958694e-06,Ratings,1,2,cluckinghen.wav,DisplayFixation,,
64,f,,20.306764947483316,5.430338085396215,Ratings,1,2,cluckinghen.wav,valence_rating,0.66,2.59
64,f,,22.808974129147828,7.932546871947125,Ratings,1,2,cluckinghen.wav,arousal_rating,0.62,2.468
64,f,,22.816782511770725,6.716232746839523e-06,Ratings,1,3,firealarm.wav,DisplayFixation,,
64,f,,32.702624074881896,9.885854995343834,Ratings,1,3,firealarm.wav,valence_rating,0.02,7.038
64,f,,34.87127961078659,12.054504605242983,Ratings,1,3,firealarm.wav,arousal_rating,0.87,2.134
64,f,,34.88001362187788,6.320886313915253e-06,Ratings,1,4,growlingdog.wav,DisplayFixation,,
64,f,,41.96164272725582,7.081636216491461,Ratings,1,4,growlingdog.wav,valence_rating,0.1,4.233
64,f,,44.364090288989246,9.484084173105657,Ratings,1,4,growlingdog.wav,arousal_rating,0.82,2.366
64,f,,52.790092973737046,17.910088438307866,VO,2,0,growlingdog.wav,StartBlockVO,,
64,f,,52.79974313126877,8.6913350969553e-06,VO,2,1,L2_cen2_R1.jpg,DisplayFixation,,
64,f,,58.82868017209694,6.028949287720025,VO,2,1,L2_cen2_R1.jpg,SearchResponse,,
64,f,,61.84838107926771,1.4222227036952972e-05,VO,2,2,L2_per6_R1.jpg,DisplayFixation,,
64,f,,65.93619802687317,4.087833145167679,VO,2,2,L2_per6_R1.jpg,SearchResponse,right,3.070572925498709
64,f,,68.9556200208608,1.5802448615431786e-05,VO,2,3,L2_cen3_R4.jpg,DisplayFixation,,
64,f,,71.9920039633289,3.036401720251888,VO,2,3,L2_cen3_R4.jpg,SearchResponse,right,2.0192655499558896
64,f,,75.01176215428859,1.6197562217712402e-05,VO,2,4,L2_cen4_L2.jpg,DisplayFixation,,
64,f,,77.28071540826932,2.268971821758896,VO,2,4,L2_cen4_L2.jpg,SearchResponse,left,1.2519885401707143
64,f,,80.30034678475931,1.5802448615431786e-05,VO,2,5,L1_cen1_r.jpg,DisplayFixation,,
64,f,,82.23570096096955,1.9353719539940357,VO,2,5,L1_cen1_r.jpg,SearchResponse,right,0.9177360313478857
64,f,,85.25521974498406,1.5802448615431786e-05,VO,2,6,L1_cen2_l.jpg,DisplayFixation,,
64,f,,86.9066403452307,1.651437192922458,VO,2,6,L1_cen2_l.jpg,SearchResponse,left,0.6356604276224971
64,f,,89.92655577044934,1.5802448615431786e-05,VO,2,7,L2_per2_R1.jpg,DisplayFixation,,
64,f,,92.76288156001829,2.8363439622335136,VO,2,7,L2_per2_R1.jpg,SearchResponse,right,1.8196538158226758
64,f,,95.78307905886322,1.5802448615431786e-05,VO,2,8,L2_per5_R1.jpg,DisplayFixation,,
64,f,,97.96773180412129,2.1846693377010524,VO,2,8,L2_per5_R1.jpg,SearchResponse,right,1.1685903507750481
