respondent,sex,condition,exp_clock,trial_clock,block,block_nr,trial_nr,stim_id,event,value,responseTime
26,f,,1.22E-05,7.51E-06,Ratings,1,0,0,StartBlockRatings,,
26,f,,0.005434864,5.53E-06,Ratings,1,1,cluckinghen.wav,DisplayFixation,,
26,f,,8.169095506,8.163667753,Ratings,1,1,cluckinghen.wav,valence_rating,0.8,5.341
26,f,,19.94754805,19.9421203,Ratings,1,1,cluckinghen.wav,arousal_rating,0.47,11.758
26,f,,19.95897916,7.11E-06,Ratings,1,2,microwaveoven.wav,DisplayFixation,,
26,f,,26.75412859,6.795157728,Ratings,1,2,microwaveoven.wav,valence_rating,0.39,3.948
26,f,,30.17428504,10.21531417,Ratings,1,2,microwaveoven.wav,arousal_rating,0.65,3.386
26,f,,30.18437333,6.72E-06,Ratings,1,3,firealarm.wav,DisplayFixation,,
26,f,,35.4462803,5.261915259,Ratings,1,3,firealarm.wav,valence_rating,0.18,2.412
26,f,,38.19884721,8.014481383,Ratings,1,3,firealarm.wav,arousal_rating,0.76,2.72
26,f,,38.20734578,6.72E-06,Ratings,1,4,growlingdog.wav,DisplayFixation,,
26,f,,44.25499101,6.047653926,Ratings,1,4,growlingdog.wav,valence_rating,0.41,3.199
26,f,,46.44066094,8.233323852,Ratings,1,4,growlingdog.wav,arousal_rating,0.64,2.152
26,f,,64.76102123,26.55368573,VO,2,0,growlingdog.wav,StartBlockVO,,
26,f,,64.77379872,1.07E-05,VO,2,1,L2_cen3_L1.jpg,DisplayFixation,,
26,f,,70.79860109,6.024818173,VO,2,1,L2_cen3_L1.jpg,SearchResponse,,
26,f,,73.81907319,1.54E-05,VO,2,2,L2_cen4_R3.jpg,DisplayFixation,,
26,f,,79.84095723,6.021901432,VO,2,2,L2_cen4_R3.jpg,SearchResponse,,
26,f,,82.86090509,1.58E-05,VO,2,3,L2_per11_L1.jpg,DisplayFixation,,
26,f,,85.88043575,3.019548839,VO,2,3,L2_per11_L1.jpg,SearchResponse,left,2.003369482
26,f,,88.90017422,1.58E-05,VO,2,4,L2_per4_L2.jpg,DisplayFixation,,
26,f,,92.03647091,3.136313284,VO,2,4,L2_per4_L2.jpg,SearchResponse,left,2.119346963
26,f,,95.05638874,1.62E-05,VO,2,5,L1_per11_l.jpg,DisplayFixation,,
26,f,,97.32323437,2.266859457,VO,2,5,L1_per11_l.jpg,SearchResponse,left,1.250824691
26,f,,100.3428203,4.74E-06,VO,2,6,L2_per12_R2.jpg,DisplayFixation,,
26,f,,103.6804986,3.337684148,VO,2,6,L2_per12_R2.jpg,SearchResponse,right,2.319107556
26,f,,106.7013077,1.58E-05,VO,2,7,L1_cen4_l.jpg,DisplayFixation,,
26,f,,109.4707168,2.769427753,VO,2,7,L1_cen4_l.jpg,SearchResponse,left,1.75257758
26,f,,112.4904395,1.62E-05,VO,2,8,L2_per4_R2.jpg,DisplayFixation,,
26,f,,114.8760498,2.385628445,VO,2,8,L2_per4_R2.jpg,SearchResponse,right,1.368874667
26,f,,117.8958242,1.58E-05,VO,2,9,L2_cen3_L3.jpg,DisplayFixation,,
26,f,,120.7319692,2.836162765,VO,2,9,L2_cen3_L3.jpg,SearchResponse,left,1.819447704
26,f,,123.7517432,1.54E-05,VO,2,10,L1_per7_r.jpg,DisplayFixation,,
26,f,,125.8707943,2.119068839,VO,2,10,L1_per7_r.jpg,SearchResponse,right,1.102091457
26,f,,128.8901242,1.54E-05,VO,2,11,L2_cen2_L1.jpg,DisplayFixation,,
26,f,,131.2757665,2.385660444,VO,2,11,L2_cen2_L1.jpg,SearchResponse,left,1.368882173
26,f,,134.2955058,1.58E-05,VO,2,12,L2_per4_R2.jpg,DisplayFixation,,
26,f,,136.3308808,2.035397531,VO,2,12,L2_per4_R2.jpg,SearchResponse,right,1.018570272
26,f,,139.350673,1.58E-05,VO,2,13,L1_cen1_l.jpg,DisplayFixation,,
26,f,,141.5026125,2.151956543,VO,2,13,L1_cen1_l.jpg,SearchResponse,left,1.135126519
26,f,,144.522449,1.62E-05,VO,2,14,L1_per11_r.jpg,DisplayFixation,,
26,f,,146.424322,1.901891556,VO,2,14,L1_per11_r.jpg,SearchResponse,right,0.885346371
26,f,,149.4440352,1.54E-05,VO,2,15,L1_cen3_r.jpg,DisplayFixation,,
26,f,,151.6949768,2.250958617,VO,2,15,L1_cen3_r.jpg,SearchResponse,right,1.234260148
26,f,,154.7160755,1.46E-05,VO,2,16,L1_cen2_l.jpg,DisplayFixation,,
26,f,,156.8667437,2.15068484,VO,2,16,L1_cen2_l.jpg,SearchResponse,left,1.134047605
26,f,,159.8876196,1.54E-05,VO,2,17,L2_per11_R1.jpg,DisplayFixation,,
26,f,,162.6238621,2.736261926,VO,2,17,L2_per11_R1.jpg,SearchResponse,right,1.719917827
26,f,,165.6435808,1.70E-05,VO,2,18,L2_cen2_R3.jpg,DisplayFixation,,
26,f,,167.9280055,2.284443654,VO,2,18,L2_cen2_R3.jpg,SearchResponse,right,1.267928099
26,f,,170.9490129,1.54E-05,VO,2,19,L1_cen2_r.jpg,DisplayFixation,,
26,f,,172.7674039,1.818408691,VO,2,19,L1_cen2_r.jpg,SearchResponse,right,0.801891556
26,f,,175.787068,1.62E-05,VO,2,20,L2_cen3_R3.jpg,DisplayFixation,,
26,f,,178.9734199,3.186369975,VO,2,20,L2_cen3_R3.jpg,SearchResponse,right,2.169352296
26,f,,181.9932721,1.58E-05,VO,2,21,L1_per6_l.jpg,DisplayFixation,,
26,f,,183.9776826,1.984794469,VO,2,21,L1_per6_l.jpg,SearchResponse,left,0.967118617
26,f,,186.9983498,1.66E-05,VO,2,22,L2_cen3_L2.jpg,DisplayFixation,,
26,f,,189.734302,2.735971161,VO,2,22,L2_cen3_L2.jpg,SearchResponse,left,1.718990222
26,f,,192.7540733,1.58E-05,VO,2,23,L1_cen4_r.jpg,DisplayFixation,,
26,f,,194.8392399,2.085183605,VO,2,23,L1_cen4_r.jpg,SearchResponse,right,1.068504099
26,f,,197.8604267,1.54E-05,VO,2,24,L1_cen4_r.jpg,DisplayFixation,,
26,f,,199.5941231,1.733713778,VO,2,24,L1_cen4_r.jpg,SearchResponse,right,0.70255763
26,f,,202.6138817,1.58E-05,VO,2,25,L1_per6_l.jpg,DisplayFixation,,
26,f,,204.4656972,1.851834074,VO,2,25,L1_per6_l.jpg,SearchResponse,left,0.835185383
26,f,,207.4851753,2.05E-05,VO,2,26,L1_cen2_l.jpg,DisplayFixation,,
26,f,,209.2372045,1.752056889,VO,2,26,L1_cen2_l.jpg,SearchResponse,left,0.735130469
26,f,,212.2568988,1.54E-05,VO,2,27,L2_per2_L1.jpg,DisplayFixation,,
26,f,,215.0933456,2.836464198,VO,2,27,L2_per2_L1.jpg,SearchResponse,left,1.819348543
26,f,,218.1128012,1.62E-05,VO,2,28,L2_cen3_R1.jpg,DisplayFixation,,
26,f,,220.3469859,2.234243951,VO,2,28,L2_cen3_R1.jpg,SearchResponse,right,1.217308839
26,f,,223.3680249,1.62E-05,VO,2,29,L1_per11_r.jpg,DisplayFixation,,
26,f,,225.2364693,1.868463407,VO,2,29,L1_per11_r.jpg,SearchResponse,right,0.851958913
26,f,,228.2561497,1.54E-05,VO,2,30,L1_per8_l.jpg,DisplayFixation,,
26,f,,230.5248221,2.268689778,VO,2,30,L1_per8_l.jpg,SearchResponse,left,1.252008296
26,f,,233.5446037,2.53E-05,VO,2,31,L2_per11_L1.jpg,DisplayFixation,,
26,f,,235.8469179,2.302341136,VO,2,31,L2_per11_L1.jpg,SearchResponse,left,1.285265383
26,f,,238.8668057,1.82E-05,VO,2,32,L1_per5_r.jpg,DisplayFixation,,
26,f,,240.752531,1.885744988,VO,2,32,L1_per5_r.jpg,SearchResponse,right,0.868314469
26,f,,243.7717207,4.904933926,VA,3,0,L1_per5_r.jpg,StartBlockVA,,
26,f,,243.780162,7.11E-06,VA,3,1,microwaveoven.wav-L1_cen1_l.jpg,DisplayFixation,,
26,f,,247.5586797,3.778529185,VA,3,1,microwaveoven.wav-L1_cen1_l.jpg,SearchResponse,left,0.951796938
26,f,,250.5785568,1.50E-05,VA,3,2,firealarm.wav-L1_cen1_l.jpg,DisplayFixation,,
26,f,,254.2488822,3.670341926,VA,3,2,firealarm.wav-L1_cen1_l.jpg,SearchResponse,left,0.851582815
26,f,,257.2686297,1.66E-05,VA,3,3,cluckinghen.wav-L1_cen1_l.jpg,DisplayFixation,,
26,f,,260.8390191,3.570407901,VA,3,3,cluckinghen.wav-L1_cen1_l.jpg,SearchResponse,left,0.751814321
26,f,,263.8584395,1.54E-05,VA,3,4,firealarm.wav-L1_cen3_r.jpg,DisplayFixation,,
26,f,,267.4620192,3.603597037,VA,3,4,firealarm.wav-L1_cen3_r.jpg,SearchResponse,right,0.784892049
26,f,,270.4818461,1.58E-05,VA,3,5,cluckinghen.wav-L1_cen3_r.jpg,DisplayFixation,,
26,f,,273.9689975,3.48717037,VA,3,5,cluckinghen.wav-L1_cen3_r.jpg,SearchResponse,right,0.668123654
26,f,,276.9883599,1.66E-05,VA,3,6,firealarm.wav-L1_per11_l.jpg,DisplayFixation,,
26,f,,280.6419342,3.653594074,VA,3,6,firealarm.wav-L1_per11_l.jpg,SearchResponse,left,0.835245827
26,f,,283.6616541,1.62E-05,VA,3,7,growlingdog.wav-L1_cen2_l.jpg,DisplayFixation,,
26,f,,287.1318341,3.470198914,VA,3,7,growlingdog.wav-L1_cen2_l.jpg,SearchResponse,left,0.651674469
26,f,,290.1514185,1.66E-05,VA,3,8,microwaveoven.wav-L1_cen3_r.jpg,DisplayFixation,,
26,f,,293.5882568,3.436856889,VA,3,8,microwaveoven.wav-L1_cen3_r.jpg,SearchResponse,right,0.618162963
26,f,,296.607919,1.66E-05,VA,3,9,growlingdog.wav-L1_cen4_r.jpg,DisplayFixation,,
26,f,,300.2788654,3.670965333,VA,3,9,growlingdog.wav-L1_cen4_r.jpg,SearchResponse,right,0.851130864
26,f,,303.2979706,1.62E-05,VA,3,10,cluckinghen.wav-L1_per2_l.jpg,DisplayFixation,,
26,f,,307.2849604,3.987009185,VA,3,10,cluckinghen.wav-L1_per2_l.jpg,SearchResponse,left,1.168673185
26,f,,310.3050524,2.21E-05,VA,3,11,firealarm.wav-L1_per6_r.jpg,DisplayFixation,,
26,f,,314.0573598,3.752329877,VA,3,11,firealarm.wav-L1_per6_r.jpg,SearchResponse,right,0.932439704
26,f,,317.0789657,2.57E-05,VA,3,12,growlingdog.wav-L1_per3_l.jpg,DisplayFixation,,
26,f,,321.1824142,4.103476938,VA,3,12,growlingdog.wav-L1_per3_l.jpg,SearchResponse,left,1.285656099
26,f,,324.202208,1.54E-05,VA,3,13,cluckinghen.wav-L1_per9_r.jpg,DisplayFixation,,
26,f,,328.0382056,3.836015012,VA,3,13,cluckinghen.wav-L1_per9_r.jpg,SearchResponse,right,1.016902321
26,f,,331.0590574,1.66E-05,VA,3,14,firealarm.wav-L2_cen3_L4.jpg,DisplayFixation,,
26,f,,336.3309598,5.271921383,VA,3,14,firealarm.wav-L2_cen3_L4.jpg,SearchResponse,left,2.452852543
26,f,,339.3506252,2.09E-05,VA,3,15,growlingdog.wav-L1_per12_r.jpg,DisplayFixation,,
26,f,,343.4546461,4.104039111,VA,3,15,growlingdog.wav-L1_per12_r.jpg,SearchResponse,right,1.285784099
26,f,,346.4743502,1.62E-05,VA,3,16,microwaveoven.wav-L1_per4_l.jpg,DisplayFixation,,
26,f,,350.294609,3.820276543,VA,3,16,microwaveoven.wav-L1_per4_l.jpg,SearchResponse,left,1.001913284
26,f,,353.3145509,1.54E-05,VA,3,17,firealarm.wav-L2_cen4_R1.jpg,DisplayFixation,,
26,f,,357.9858813,4.671348543,VA,3,17,firealarm.wav-L2_cen4_R1.jpg,SearchResponse,right,1.852965136
26,f,,361.0056008,1.66E-05,VA,3,18,growlingdog.wav-L2_cen3_L3.jpg,DisplayFixation,,
26,f,,365.7936012,4.788019753,VA,3,18,growlingdog.wav-L2_cen3_L3.jpg,SearchResponse,left,1.969527309
26,f,,368.8134254,1.54E-05,VA,3,19,firealarm.wav-L2_per5_L1.jpg,DisplayFixation,,
26,f,,374.0018931,5.188490272,VA,3,19,firealarm.wav-L2_per5_L1.jpg,SearchResponse,left,2.369836247
26,f,,377.0216711,1.78E-05,VA,3,20,cluckinghen.wav-L2_cen4_L4.jpg,DisplayFixation,,
26,f,,381.2757582,4.254106469,VA,3,20,cluckinghen.wav-L2_cen4_L4.jpg,SearchResponse,left,1.436704
26,f,,384.2955496,1.62E-05,VA,3,21,microwaveoven.wav-L1_per6_r.jpg,DisplayFixation,,
