respondent,sex,condition,exp_clock,trial_clock,block,block_nr,trial_nr,stim_id,event,value,responseTime
16,m,,1.1456897482275963e-05,7.505994290113449e-06,Ratings,1,0,0,StartBlockRatings,,
16,m,,0.006744493963196874,4.7406647354364395e-06,Ratings,1,1,firealarm.wav,DisplayFixation,,
16,m,,10.991334716090932,10.984596148133278,Ratings,1,1,firealarm.wav,valence_rating,0.19,8.158
16,m,,14.845860740868375,14.839121777797118,Ratings,1,1,firealarm.wav,arousal_rating,0.83,3.834
16,m,,14.854436740744859,6.7159999161958694e-06,Ratings,1,2,cluckinghen.wav,DisplayFixation,,
16,m,,21.98649125942029,7.132062419550493,Ratings,1,2,cluckinghen.wav,valence_rating,0.6,4.284
16,m,,25.740120098926127,10.885690864175558,Ratings,1,2,cluckinghen.wav,arousal_rating,0.43,3.721
16,m,,25.747628247132525,6.3211191445589066e-06,Ratings,1,3,growlingdog.wav,DisplayFixation,,
16,m,,36.768105876632035,11.020485135959461,Ratings,1,3,growlingdog.wav,valence_rating,0.44,8.172
16,m,,39.237147654406726,13.489527308847755,Ratings,1,3,growlingdog.wav,arousal_rating,0.59,2.437
16,m,,39.24538666685112,7.111113518476486e-06,Ratings,1,4,microwaveoven.wav,DisplayFixation,,
16,m,,48.41318360506557,9.167804444441572,Ratings,1,4,microwaveoven.wav,valence_rating,0.49,6.319
16,m,,50.281906567979604,11.036528592696413,Ratings,1,4,microwaveoven.wav,arousal_rating,0.41,1.836
16,m,,69.60230795061216,30.356931950664148,VO,2,0,microwaveoven.wav,StartBlockVO,,
16,m,,69.61540187662467,5.254312418401241e-05,VO,2,1,L1_cen1_l.jpg,DisplayFixation,,
16,m,,71.4866121483501,1.8712671604007483,VO,2,1,L1_cen1_l.jpg,SearchResponse,right,0.8523926914203912
16,m,,74.5063012347091,1.540733501315117e-05,VO,2,2,L2_cen1_L4.jpg,DisplayFixation,,
16,m,,77.24244582722895,2.736161975422874,VO,2,2,L2_cen1_L4.jpg,SearchResponse,right,1.7192015801556408
16,m,,80.26038558036089,4.345783963799477e-06,VO,2,3,L2_per4_R1.jpg,DisplayFixation,,
16,m,,83.46528355567716,3.2049078517593443,VO,2,3,L2_per4_R1.jpg,SearchResponse,right,2.1865193084813654
16,m,,86.48498014826328,1.6197562217712402e-05,VO,2,4,L2_cen3_R3.jpg,DisplayFixation,,
16,m,,88.97140424698591,2.4864414816256613,VO,2,4,L2_cen3_R3.jpg,SearchResponse,right,1.4690125433262438
16,m,,91.99055802472867,1.540733501315117e-05,VO,2,5,L2_per1_R2.jpg,DisplayFixation,,
16,m,,94.70987496315502,2.719334715977311,VO,2,5,L2_per1_R2.jpg,SearchResponse,right,1.7016402962617576
16,m,,97.72951427171938,1.5802448615431786e-05,VO,2,6,L1_cen2_l.jpg,DisplayFixation,,
16,m,,99.49828424700536,1.7687877530697733,VO,2,6,L1_cen2_l.jpg,SearchResponse,left,0.7516788148786873
16,m,,102.51767269149423,1.73826701939106e-05,VO,2,7,L1_cen1_r.jpg,DisplayFixation,,
16,m,,104.23617698764428,1.7185232592746615,VO,2,7,L1_cen1_r.jpg,SearchResponse,right,0.7019302716944367
16,m,,107.25578903709538,1.5802448615431786e-05,VO,2,8,L2_per12_L2.jpg,DisplayFixation,,
16,m,,109.72501293825917,2.469242074061185,VO,2,8,L2_per12_L2.jpg,SearchResponse,left,1.452338172821328
16,m,,112.74463486438617,1.619732938706875e-05,VO,2,9,L1_cen3_r.jpg,DisplayFixation,,
16,m,,114.42963753105141,1.6850212344434112,VO,2,9,L1_cen3_r.jpg,SearchResponse,right,0.6682386172469705
16,m,,117.44934637052938,1.6592442989349365e-05,VO,2,10,L1_per5_l.jpg,DisplayFixation,,
16,m,,119.1342723951675,1.6849445924162865,VO,2,10,L1_per5_l.jpg,SearchResponse,left,0.6680999505333602
16,m,,122.15399664198048,1.5802448615431786e-05,VO,2,11,L1_per2_l.jpg,DisplayFixation,,
16,m,,124.48965056799352,2.3356724937912077,VO,2,11,L1_per2_l.jpg,SearchResponse,left,1.3187697776593268
16,m,,127.5094463210553,1.6987789422273636e-05,VO,2,12,L2_cen3_L1.jpg,DisplayFixation,,
16,m,,129.89504079031758,2.3856134321540594,VO,2,12,L2_cen3_L1.jpg,SearchResponse,left,1.3690299259033054
16,m,,132.91513007413596,1.6197562217712402e-05,VO,2,13,L2_cen2_L3.jpg,DisplayFixation,,
16,m,,134.69993995083496,1.7848288393579423,VO,2,13,L2_cen2_L3.jpg,SearchResponse,left,0.7688485926482826
16,m,,137.71773550636135,4.7406647354364395e-06,VO,2,14,L1_cen3_l.jpg,DisplayFixation,,
16,m,,139.31900523463264,1.6012764445040375,VO,2,14,L1_cen3_l.jpg,SearchResponse,left,0.5830621235072613
16,m,,142.33851101249456,4.345551133155823e-06,VO,2,15,L2_per9_L1.jpg,DisplayFixation,,
16,m,,145.02690844447352,2.6884073086548597,VO,2,15,L2_per9_L1.jpg,SearchResponse,left,1.6693760000634938
16,m,,148.04662597551942,1.659267581999302e-05,VO,2,16,L1_per2_r.jpg,DisplayFixation,,
16,m,,149.78243832103908,1.735830518649891,VO,2,16,L1_per2_r.jpg,SearchResponse,right,0.7183115060906857
16,m,,152.80140088894404,1.5012454241514206e-05,VO,2,17,L2_cen3_L2.jpg,DisplayFixation,,
16,m,,155.17045570374466,2.3690721977036446,VO,2,17,L2_cen3_L2.jpg,SearchResponse,left,1.3522575802635401
16,m,,158.1901428150013,1.73826701939106e-05,VO,2,18,L1_cen2_r.jpg,DisplayFixation,,
16,m,,159.90844800020568,1.718325333436951,VO,2,18,L1_cen2_r.jpg,SearchResponse,right,0.7027267159428447
16,m,,162.92810627166182,1.73826701939106e-05,VO,2,19,L1_per5_r.jpg,DisplayFixation,,
16,m,,164.56296019768342,1.6348728889133781,VO,2,19,L1_per5_r.jpg,SearchResponse,right,0.6026137284934521
16,m,,167.5833287902642,1.5802448615431786e-05,VO,2,20,L1_per4_r.jpg,DisplayFixation,,
16,m,,169.3012574815657,1.7179468641988933,VO,2,20,L1_per4_r.jpg,SearchResponse,right,0.7015972346998751
16,m,,172.32132701249793,1.5802448615431786e-05,VO,2,21,L1_per6_l.jpg,DisplayFixation,,
16,m,,174.00569560495205,1.684385975357145,VO,2,21,L1_per6_l.jpg,SearchResponse,left,0.667230419581756
16,m,,177.02585323457606,1.5802448615431786e-05,VO,2,22,L2_cen4_R3.jpg,DisplayFixation,,
16,m,,178.8608908643946,1.8352094814181328,VO,2,22,L2_cen4_R3.jpg,SearchResponse,right,0.8181333334650844
16,m,,181.88048948161304,1.540733501315117e-05,VO,2,23,L2_per1_L1.jpg,DisplayFixation,,
16,m,,183.81562587665394,1.9351537777110934,VO,2,23,L2_per1_L1.jpg,SearchResponse,left,0.9188393086660653
16,m,,186.83536632102914,1.5802448615431786e-05,VO,2,24,L1_per8_r.jpg,DisplayFixation,,
16,m,,188.52042469149455,1.6850753580220044,VO,2,24,L1_per8_r.jpg,SearchResponse,right,0.6682062221225351
16,m,,191.54015130875632,1.580268144607544e-05,VO,2,25,L2_cen2_R3.jpg,DisplayFixation,,
16,m,,193.2416244938504,1.701490567997098,VO,2,25,L2_cen2_R3.jpg,SearchResponse,right,0.6848161974921823
16,m,,196.26166400010698,1.5407567843794823e-05,VO,2,26,L1_cen2_l.jpg,DisplayFixation,,
16,m,,197.74629412358627,1.484647901263088,VO,2,26,L1_cen2_l.jpg,SearchResponse,left,0.4685408396180719
16,m,,200.76592434570193,1.659267581999302e-05,VO,2,27,L1_per6_l.jpg,DisplayFixation,,
16,m,,202.35104158031754,1.5851354075130075,VO,2,27,L1_per6_l.jpg,SearchResponse,left,0.5682449382729828
16,m,,205.37068681488745,1.5407567843794823e-05,VO,2,28,L2_cen1_R2.jpg,DisplayFixation,,
16,m,,208.87415427179076,3.5034848395735025,VO,2,28,L2_cen1_R2.jpg,SearchResponse,right,2.4853005432523787
16,m,,211.89379002479836,1.580268144607544e-05,VO,2,29,L2_per2_R1.jpg,DisplayFixation,,
16,m,,213.9625165432226,2.0687442964408547,VO,2,29,L2_per2_R1.jpg,SearchResponse,right,1.0520387161523104
16,m,,216.9822048395872,1.6987789422273636e-05,VO,2,30,L2_per6_L1.jpg,DisplayFixation,,
16,m,,219.0174735803157,2.035288098733872,VO,2,30,L2_per6_L1.jpg,SearchResponse,left,1.0186172840185463
16,m,,222.03718400001526,1.5802448615431786e-05,VO,2,31,L1_cen4_r.jpg,DisplayFixation,,
16,m,,223.82255644444376,1.7853910122066736,VO,2,31,L1_cen4_r.jpg,SearchResponse,right,0.7682556048966944
16,m,,226.84209027164616,1.7777783796191216e-05,VO,2,32,L2_per6_R1.jpg,DisplayFixation,,
16,m,,228.8440699260682,2.0019998024217784,VO,2,32,L2_per6_R1.jpg,SearchResponse,right,0.9851919012144208
16,m,,231.86377797531895,5.021706666564569,VA,3,0,L2_per6_R1.jpg,StartBlockVA,,
16,m,,231.8752347654663,7.901107892394066e-06,VA,3,1,firealarm.wav-L1_per6_l.jpg,DisplayFixation,,
16,m,,235.30055506178178,3.4253412345424294,VA,3,1,firealarm.wav-L1_per6_l.jpg,SearchResponse,left,0.6018575802445412
16,m,,238.32022953103296,1.619732938706875e-05,VA,3,2,growlingdog.wav-L2_cen1_R1.jpg,DisplayFixation,,
16,m,,242.52304987655953,4.202838123310357,VA,3,2,growlingdog.wav-L2_cen1_R1.jpg,SearchResponse,right,1.3845590122509748
16,m,,245.54407585202716,1.540733501315117e-05,VA,3,3,cluckinghen.wav-L1_per7_l.jpg,DisplayFixation,,
16,m,,249.0310558024794,3.4869981235824525,VA,3,3,cluckinghen.wav-L1_per7_l.jpg,SearchResponse,left,0.6683377777226269
16,m,,252.0507468644064,1.6987556591629982e-05,VA,3,4,growlingdog.wav-L1_cen1_r.jpg,DisplayFixation,,
16,m,,255.40374755556695,3.3530196542851627,VA,3,4,growlingdog.wav-L1_cen1_r.jpg,SearchResponse,right,0.5346729876473546
16,m,,258.42415881482884,1.6197562217712402e-05,VA,3,5,cluckinghen.wav-L2_cen1_L4.jpg,DisplayFixation,,
16,m,,261.97745777782984,3.553316740784794,VA,3,5,cluckinghen.wav-L2_cen1_L4.jpg,SearchResponse,left,0.7352292346768081
16,m,,264.99718281487003,1.540733501315117e-05,VA,3,6,firealarm.wav-L1_per9_r.jpg,DisplayFixation,,
16,m,,268.50015130871907,3.502987061627209,VA,3,6,firealarm.wav-L1_per9_r.jpg,SearchResponse,right,0.6846901727840304
16,m,,271.5201090371702,1.5407567843794823e-05,VA,3,7,microwaveoven.wav-L1_cen2_l.jpg,DisplayFixation,,
16,m,,274.8566482963506,3.3365570371970534,VA,3,7,microwaveoven.wav-L1_cen2_l.jpg,SearchResponse,left,0.5179760989267379
16,m,,277.87638558028266,1.6197562217712402e-05,VA,3,8,growlingdog.wav-L2_cen3_L1.jpg,DisplayFixation,,
16,m,,281.5301187161822,3.6537520987913013,VA,3,8,growlingdog.wav-L2_cen3_L1.jpg,SearchResponse,left,0.835293234558776
16,m,,284.5498160987627,2.3308442905545235e-05,VA,3,9,cluckinghen.wav-L2_per6_R1.jpg,DisplayFixation,,
16,m,,288.08655762975104,3.5367644443176687,VA,3,9,cluckinghen.wav-L2_per6_R1.jpg,SearchResponse,right,0.7182720000855625
16,m,,291.10632533347234,1.5802448615431786e-05,VA,3,10,microwaveoven.wav-L2_cen3_L4.jpg,DisplayFixation,,
16,m,,294.8600640001241,3.7537572344299406,VA,3,10,microwaveoven.wav-L2_cen3_L4.jpg,SearchResponse,left,0.9352351606357843
16,m,,297.87983604939654,1.5802448615431786e-05,VA,3,11,firealarm.wav-L2_per5_R1.jpg,DisplayFixation,,
16,m,,301.5000454322435,3.620227160397917,VA,3,11,firealarm.wav-L2_per5_R1.jpg,SearchResponse,right,0.8020894813816994
16,m,,304.5198913582135,1.5802448615431786e-05,VA,3,12,microwaveoven.wav-L2_per5_L1.jpg,DisplayFixation,,
16,m,,307.9397601976525,3.4198874074500054,VA,3,12,microwaveoven.wav-L2_per5_L1.jpg,SearchResponse,left,0.6014198518823832
16,m,,310.9595073580276,1.6197562217712402e-05,VA,3,13,firealarm.wav-L2_cen4_L2.jpg,DisplayFixation,,
16,m,,314.4296632099431,3.470174024812877,VA,3,13,firealarm.wav-L2_cen4_L2.jpg,SearchResponse,right,0.6515583209693432
16,m,,317.44933846918866,1.7777783796191216e-05,VA,3,14,microwaveoven.wav-L1_per4_l.jpg,DisplayFixation,,
16,m,,320.96949096303433,3.5201730369590223,VA,3,14,microwaveoven.wav-L1_per4_l.jpg,SearchResponse,left,0.7011468640994281
16,m,,323.98922311118804,1.659267581999302e-05,VA,3,15,cluckinghen.wav-L2_per6_L1.jpg,DisplayFixation,,
16,m,,327.3759589137044,3.3867547654081136,VA,3,15,cluckinghen.wav-L2_per6_L1.jpg,SearchResponse,left,0.5678388148080558
16,m,,330.3955689878203,1.6197562217712402e-05,VA,3,16,firealarm.wav-L2_cen2_R1.jpg,DisplayFixation,,
16,m,,333.9491681975778,3.5536177777685225,VA,3,16,firealarm.wav-L2_cen2_R1.jpg,SearchResponse,right,0.735047901282087
16,m,,336.9688264692668,2.3703789338469505e-05,VA,3,17,growlingdog.wav-L1_cen3_l.jpg,DisplayFixation,,
16,m,,340.2722552099731,3.303448888938874,VA,3,17,growlingdog.wav-L1_cen3_l.jpg,SearchResponse,left,0.48394548147916794
16,m,,343.2919253334403,1.580268144607544e-05,VA,3,18,cluckinghen.wav-L1_cen2_r.jpg,DisplayFixation,,
16,m,,346.7785552593414,3.486647703917697,VA,3,18,cluckinghen.wav-L1_cen2_r.jpg,SearchResponse,right,0.6683539752848446
16,m,,349.798328098841,1.540733501315117e-05,VA,3,19,microwaveoven.wav-L1_per5_r.jpg,DisplayFixation,,
16,m,,353.11822775308974,3.3199170369189233,VA,3,19,microwaveoven.wav-L1_per5_r.jpg,SearchResponse,left,0.5016896792221814
16,m,,356.13815901242197,1.5407567843794823e-05,VA,3,20,cluckinghen.wav-L2_cen3_R3.jpg,DisplayFixation,,
16,m,,359.74162212363444,3.6034808889962733,VA,3,20,cluckinghen.wav-L2_cen3_R3.jpg,SearchResponse,right,0.7850477036554366
16,m,,362.76147516048513,1.6197562217712402e-05,VA,3,21,growlingdog.wav-L1_per8_r.jpg,DisplayFixation,,
16,m,,366.23217659280635,3.4707200000993907,VA,3,21,growlingdog.wav-L1_per8_r.jpg,SearchResponse,right,0.6511913086287677
16,m,,369.2512343705166,1.6987556591629982e-05,VA,3,22,microwaveoven.wav-L2_cen4_R2.jpg,DisplayFixation,,
16,m,,372.98815170372836,3.736936296336353,VA,3,22,microwaveoven.wav-L2_cen4_R2.jpg,SearchResponse,right,0.919451259309426
16,m,,376.00782814831473,1.6197562217712402e-05,VA,3,23,cluckinghen.wav-L1_cen2_l.jpg,DisplayFixation,,
16,m,,379.29451298783533,3.2867026173043996,VA,3,23,cluckinghen.wav-L1_cen2_l.jpg,SearchResponse,left,0.467917432077229
16,m,,382.3143273086753,1.5012454241514206e-05,VA,3,24,growlingdog.wav-L2_per9_R1.jpg,DisplayFixation,,
16,m,,387.2691701729782,4.9548606420867145,VA,3,24,growlingdog.wav-L2_per9_R1.jpg,SearchResponse,left,2.136597728356719
16,m,,390.28885333333164,1.659267581999302e-05,VA,3,25,cluckinghen.wav-L1_per6_r.jpg,DisplayFixation,,
16,m,,393.7076254815329,3.4187899259850383,VA,3,25,cluckinghen.wav-L1_per6_r.jpg,SearchResponse,right,0.5991115062497556
16,m,,396.728572049411,1.6197562217712402e-05,VA,3,26,firealarm.wav-L2_per12_L1.jpg,DisplayFixation,,
16,m,,400.88280849391595,4.154264493845403,VA,3,26,firealarm.wav-L2_per12_L1.jpg,SearchResponse,left,1.3355085430666804
16,m,,403.90252523473464,1.4617107808589935e-05,VA,3,27,microwaveoven.wav-L1_cen1_r.jpg,DisplayFixation,,
16,m,,407.3226046420168,3.420096395071596,VA,3,27,microwaveoven.wav-L1_cen1_r.jpg,SearchResponse,right,0.601416296325624
16,m,,410.34232493839227,1.6987556591629982e-05,VA,3,28,growlingdog.wav-L2_per11_L1.jpg,DisplayFixation,,
16,m,,414.0626607409213,3.7203543703071773,VA,3,28,growlingdog.wav-L2_per11_L1.jpg,SearchResponse,left,0.9018528393935412
16,m,,417.08236997551285,1.6197562217712402e-05,VA,3,29,firealarm.wav-L1_cen2_r.jpg,DisplayFixation,,
16,m,,420.73583446932025,3.653483061818406,VA,3,29,firealarm.wav-L1_cen2_r.jpg,SearchResponse,right,0.8348602468613535
16,m,,423.7556239012629,1.540733501315117e-05,VA,3,30,growlingdog.wav-L1_per11_l.jpg,DisplayFixation,,
16,m,,427.2411986174993,3.485592493787408,VA,3,30,growlingdog.wav-L1_per11_l.jpg,SearchResponse,left,0.6667768887709826
16,m,,430.26346350624226,1.5012454241514206e-05,VA,3,31,firealarm.wav-L1_cen2_l.jpg,DisplayFixation,,
16,m,,434.03280908660963,3.769362567923963,VA,3,31,firealarm.wav-L1_cen2_l.jpg,SearchResponse,left,0.9518479013349861
16,m,,437.05231130868196,1.659267581999302e-05,VA,3,32,microwaveoven.wav-L2_per9_R2.jpg,DisplayFixation,,
16,m,,440.7893029137049,3.7370105679146945,VA,3,32,microwaveoven.wav-L2_per9_R2.jpg,SearchResponse,right,0.9188318024389446
16,m,,443.8090512594208,6.756756938295439,VA,4,0,microwaveoven.wav-L2_per9_R2.jpg,StartBlockVA,,
16,m,,443.81889027170837,7.901107892394066e-06,VA,4,1,firealarm.wav-L1_per6_l.jpg,DisplayFixation,,
16,m,,447.41263762977906,3.593761975178495,VA,4,1,firealarm.wav-L1_per6_l.jpg,SearchResponse,left,0.7680221234913915
16,m,,450.43240138283,1.6197562217712402e-05,VA,4,2,growlingdog.wav-L2_cen1_R1.jpg,DisplayFixation,,
16,m,,454.6864422718063,4.254059851868078,VA,4,2,growlingdog.wav-L2_cen1_R1.jpg,SearchResponse,right,1.4356175800785422
16,m,,457.7063134815544,1.659267581999302e-05,VA,4,3,cluckinghen.wav-L1_per7_l.jpg,DisplayFixation,,
16,m,,461.2429775802884,3.5366822716314346,VA,4,3,cluckinghen.wav-L1_per7_l.jpg,SearchResponse,left,0.7179369877558202
16,m,,464.2628859260585,1.5012454241514206e-05,VA,4,4,growlingdog.wav-L1_cen1_r.jpg,DisplayFixation,,
16,m,,467.650010074256,3.3871419259812683,VA,4,4,growlingdog.wav-L1_cen1_r.jpg,SearchResponse,right,0.5682267653755844
16,m,,470.66923338291235,1.5802448615431786e-05,VA,4,5,cluckinghen.wav-L2_cen1_L4.jpg,DisplayFixation,,
16,m,,475.60742597538047,4.9382111604791135,VA,4,5,cluckinghen.wav-L2_cen1_L4.jpg,SearchResponse,left,2.118524444522336
16,m,,478.6271656297613,1.6197562217712402e-05,VA,4,6,firealarm.wav-L1_per9_r.jpg,DisplayFixation,,
16,m,,482.33117590122856,3.704028839478269,VA,4,6,firealarm.wav-L1_per9_r.jpg,SearchResponse,right,0.8850465186405927
16,m,,485.3511237532366,1.6197562217712402e-05,VA,4,7,microwaveoven.wav-L1_cen2_l.jpg,DisplayFixation,,
16,m,,488.8373155556619,3.4862103704363108,VA,4,7,microwaveoven.wav-L1_cen2_l.jpg,SearchResponse,left,0.6683152592740953
16,m,,491.8570737778209,1.73826701939106e-05,VA,4,8,growlingdog.wav-L2_cen3_L1.jpg,DisplayFixation,,
16,m,,496.1947800493799,4.337726024677977,VA,4,8,growlingdog.wav-L2_cen3_L1.jpg,SearchResponse,left,1.5190000988077372
16,m,,499.2145216790959,1.619732938706875e-05,VA,4,9,cluckinghen.wav-L2_per6_R1.jpg,DisplayFixation,,
16,m,,502.9849935802631,3.7704900740645826,VA,4,9,cluckinghen.wav-L2_per6_R1.jpg,SearchResponse,right,0.9519794567022473
16,m,,506.0046759506222,1.73826701939106e-05,VA,4,10,microwaveoven.wav-L2_cen3_L4.jpg,DisplayFixation,,
16,m,,510.44239762984216,4.437741432106122,VA,4,10,microwaveoven.wav-L2_cen3_L4.jpg,SearchResponse,left,1.61917037027888
16,m,,513.4630716049578,1.5802448615431786e-05,VA,4,11,firealarm.wav-L2_per5_R1.jpg,DisplayFixation,,
16,m,,517.3157886420377,3.852734814863652,VA,4,11,firealarm.wav-L2_per5_R1.jpg,SearchResponse,right,1.0360086914151907
16,m,,520.3355709630996,1.5802448615431786e-05,VA,4,12,microwaveoven.wav-L2_per5_L1.jpg,DisplayFixation,,
16,m,,523.8223762963898,3.4868235061876476,VA,4,12,microwaveoven.wav-L2_per5_L1.jpg,SearchResponse,left,0.6682251852471381
16,m,,526.8425702718087,1.6197562217712402e-05,VA,4,13,firealarm.wav-L2_cen4_L2.jpg,DisplayFixation,,
16,m,,530.3454613334034,3.5029084444977343,VA,4,13,firealarm.wav-L2_cen4_L2.jpg,SearchResponse,left,0.6853040987625718
16,m,,533.3652373333462,1.659267581999302e-05,VA,4,14,microwaveoven.wav-L1_per4_l.jpg,DisplayFixation,,
