respondent,sex,condition,exp_clock,trial_clock,block,block_nr,trial_nr,stim_id,event,value,responseTime
90,f,,1.0271789506077766e-05,6.3211191445589066e-06,Ratings,1,0,0,StartBlockRatings,,
90,f,,0.007349342107772827,5.135778337717056e-06,Ratings,1,1,cluckinghen.wav,DisplayFixation,,
90,f,,8.624100690241903,8.616757669253275,Ratings,1,1,cluckinghen.wav,valence_rating,0.5,5.789
90,f,,13.195148873375729,13.187806247267872,Ratings,1,1,cluckinghen.wav,arousal_rating,0.73,4.551
90,f,,13.203792439075187,6.716232746839523e-06,Ratings,1,2,microwaveoven.wav,DisplayFixation,,
90,f,,19.40130892023444,6.197524382267147,Ratings,1,2,microwaveoven.wav,valence_rating,0.15,3.349
90,f,,24.489859741181135,11.28607520321384,Ratings,1,2,microwaveoven.wav,arousal_rating,0.88,5.057
90,f,,24.498092837398872,6.7159999161958694e-06,Ratings,1,3,growlingdog.wav,DisplayFixation,,
90,f,,30.59604179300368,6.097957251826301,Ratings,1,3,growlingdog.wav,valence_rating,0.39,3.259
90,f,,33.432166043203324,8.934081502025947,Ratings,1,3,growlingdog.wav,arousal_rating,0.92,2.804
90,f,,33.44005780550651,6.7159999161958694e-06,Ratings,1,4,firealarm.wav,DisplayFixation,,
90,f,,38.837524350732565,5.397474446333945,Ratings,1,4,firealarm.wav,valence_rating,0.04,2.549
90,f,,41.47370169730857,8.03365179290995,Ratings,1,4,firealarm.wav,arousal_rating,0.99,2.6
90,f,,49.31581548554823,15.875766371376812,VO,2,0,firealarm.wav,StartBlockVO,,
90,f,,49.326849177479744,7.901107892394066e-06,VO,2,1,L2_per9_R2.jpg,DisplayFixation,,
90,f,,55.354212765581906,6.027375439880416,VO,2,1,L2_per9_R2.jpg,SearchResponse,,
90,f,,58.37441782653332,1.659267581999302e-05,VO,2,2,L1_cen1_l.jpg,DisplayFixation,,
90,f,,60.409888881025836,2.035490412497893,VO,2,2,L1_cen1_l.jpg,SearchResponse,left,1.0181274288333952
90,f,,63.429528212873265,1.5012221410870552e-05,VO,2,3,L2_cen4_R3.jpg,DisplayFixation,,
90,f,,65.43173898081295,2.0023885460104793,VO,2,3,L2_cen4_R3.jpg,SearchResponse,right,0.985080081038177
90,f,,68.45112033723854,1.6197562217712402e-05,VO,2,4,L2_cen2_L2.jpg,DisplayFixation,,
90,f,,71.88819344784133,3.4370908883865923,VO,2,4,L2_cen2_L2.jpg,SearchResponse,left,2.420620745513588
90,f,,74.90904008969665,2.9629794880747795e-05,VO,2,5,L2_cen4_L2.jpg,DisplayFixation,,
90,f,,77.54496499150991,2.63595650694333,VO,2,5,L2_cen4_L2.jpg,SearchResponse,left,1.6177555962931365
90,f,,80.56359731010161,1.540733501315117e-05,VO,2,6,L2_cen1_L1.jpg,DisplayFixation,,
90,f,,82.8325268139597,2.268947676755488,VO,2,6,L2_cen1_L1.jpg,SearchResponse,left,1.2530025714077055
90,f,,85.853393208934,1.540733501315117e-05,VO,2,7,L1_per8_r.jpg,DisplayFixation,,
90,f,,87.72183196665719,1.8684581154957414,VO,2,7,L1_per8_r.jpg,SearchResponse,right,0.8499743407592177
90,f,,90.7403730256483,1.659267581999302e-05,VO,2,8,L1_per12_l.jpg,DisplayFixation,,
90,f,,93.00926855416037,2.26891488651745,VO,2,8,L1_per12_l.jpg,SearchResponse,left,1.2533004484139383
90,f,,96.03004922089167,1.659267581999302e-05,VO,2,9,L1_per12_r.jpg,DisplayFixation,,
90,f,,97.88061062409543,1.850579576101154,VO,2,9,L1_per12_r.jpg,SearchResponse,right,0.8348075079265982
90,f,,100.90175474784337,3.160489723086357e-05,VO,2,10,L1_cen3_r.jpg,DisplayFixation,,
90,f,,102.7192585314624,1.817536573857069,VO,2,10,L1_cen3_r.jpg,SearchResponse,right,0.8015740858390927
90,f,,105.73976858053356,1.580268144607544e-05,VO,2,11,L1_per4_l.jpg,DisplayFixation,,
90,f,,107.59074361389503,1.850992811145261,VO,2,11,L1_per4_l.jpg,SearchResponse,left,0.8349441995378584
90,f,,110.6113737616688,1.6987789422273636e-05,VO,2,12,L1_per2_l.jpg,DisplayFixation,,
90,f,,112.31279800040647,1.701442411635071,VO,2,12,L1_per2_l.jpg,SearchResponse,left,0.6823079693131149
90,f,,115.33185382536612,1.5802448615431786e-05,VO,2,13,L2_per8_L1.jpg,DisplayFixation,,
90,f,,117.66729442053474,2.335458372719586,VO,2,13,L2_per8_L1.jpg,SearchResponse,left,1.320263885660097
90,f,,120.68809484038502,1.5012454241514206e-05,VO,2,14,L1_cen1_l.jpg,DisplayFixation,,
90,f,,122.2718727174215,1.583795655053109,VO,2,14,L1_cen1_l.jpg,SearchResponse,left,0.5679599817376584
90,f,,125.29277861863375,1.5407567843794823e-05,VO,2,15,L1_per7_l.jpg,DisplayFixation,,
90,f,,126.89421854144894,1.6014561203774065,VO,2,15,L1_per7_l.jpg,SearchResponse,left,0.5836494818795472
90,f,,129.9132629095111,2.5679124519228935e-05,VO,2,16,L1_per11_r.jpg,DisplayFixation,,
90,f,,131.64799879281782,1.7347635375335813,VO,2,16,L1_per11_r.jpg,SearchResponse,right,0.7191763585433364
90,f,,134.66879723710008,1.5802448615431786e-05,VO,2,17,L2_per7_L1.jpg,DisplayFixation,,
90,f,,136.43722007377073,1.7684410093352199,VO,2,17,L2_per7_L1.jpg,SearchResponse,left,0.7504411856643856
90,f,,139.45351243880577,4.7406647354364395e-06,VO,2,18,L2_per8_L1.jpg,DisplayFixation,,
90,f,,142.2230039187707,2.769497010856867,VO,2,18,L2_per8_L1.jpg,SearchResponse,left,1.7517089403700083
90,f,,145.24476117896847,1.461734063923359e-05,VO,2,19,L2_per6_R1.jpg,DisplayFixation,,
90,f,,147.68036347301677,2.4356188867241144,VO,2,19,L2_per6_R1.jpg,SearchResponse,right,1.4202892882749438
90,f,,150.70017979294062,1.5802448615431786e-05,VO,2,20,L2_per6_R1.jpg,DisplayFixation,,
90,f,,152.60217197309248,1.9021142544224858,VO,2,20,L2_per6_R1.jpg,SearchResponse,right,0.8849934439640492
90,f,,155.62179984804243,1.5802448615431786e-05,VO,2,21,L1_cen4_l.jpg,DisplayFixation,,
90,f,,157.55696382070892,1.935182145331055,VO,2,21,L1_cen4_l.jpg,SearchResponse,left,0.9179455817211419
90,f,,160.5767299674917,1.5407567843794823e-05,VO,2,22,L1_cen2_r.jpg,DisplayFixation,,
