respondent,sex,condition,exp_clock,trial_clock,block,block_nr,trial_nr,stim_id,event,value,responseTime
83,m,,1.1061783879995346e-05,6.716232746839523e-06,Ratings,1,0,0,StartBlockRatings,,
83,m,,0.007124543422833085,6.3211191445589066e-06,Ratings,1,1,firealarm.wav,DisplayFixation,,
83,m,,20.192863210104406,20.185746568022296,Ratings,1,1,firealarm.wav,valence_rating,0.24,17.372
83,m,,26.115242666797712,26.10812562983483,Ratings,1,1,firealarm.wav,arousal_rating,0.9,5.901
83,m,,26.124027259415016,6.7159999161958694e-06,Ratings,1,2,microwaveoven.wav,DisplayFixation,,
83,m,,36.85938014835119,10.73536079004407,Ratings,1,2,microwaveoven.wav,valence_rating,0.18,7.888
83,m,,46.285483456915244,20.161464098840952,Ratings,1,2,microwaveoven.wav,arousal_rating,0.87,9.392
83,m,,46.29451101250015,6.320886313915253e-06,Ratings,1,3,cluckinghen.wav,DisplayFixation,,
83,m,,53.676048987777904,7.381545481504872,Ratings,1,3,cluckinghen.wav,valence_rating,0.89,4.533
83,m,,67.90701155574061,21.612509629456326,Ratings,1,3,cluckinghen.wav,arousal_rating,0.34,14.201
83,m,,67.91620464203879,7.111113518476486e-06,Ratings,1,4,growlingdog.wav,DisplayFixation,,
83,m,,76.76577659277245,8.849579851841554,Ratings,1,4,growlingdog.wav,valence_rating,0.05,6.002
83,m,,80.3527134815231,12.43651911104098,Ratings,1,4,growlingdog.wav,arousal_rating,0.95,3.551
83,m,,90.53096809890121,22.614774123299867,VO,2,0,growlingdog.wav,StartBlockVO,,
83,m,,90.54122666688636,8.296454325318336e-06,VO,2,1,L1_cen3_l.jpg,DisplayFixation,,
83,m,,92.54894498782232,2.0077317531686276,VO,2,1,L1_cen3_l.jpg,SearchResponse,left,0.9858911605551839
83,m,,95.56858706194907,1.540733501315117e-05,VO,2,2,L2_per2_R1.jpg,DisplayFixation,,
83,m,,99.02196187665686,3.4533921973779798,VO,2,2,L2_per2_R1.jpg,SearchResponse,right,2.437119604786858
83,m,,102.0416564939078,1.6197562217712402e-05,VO,2,3,L2_cen4_L2.jpg,DisplayFixation,,
83,m,,104.92788345692679,2.8862439508084208,VO,2,3,L2_cen4_L2.jpg,SearchResponse,left,1.869398123351857
83,m,,107.9476337779779,1.6197562217712402e-05,VO,2,4,L2_cen3_L4.jpg,DisplayFixation,,
83,m,,111.48447841987945,3.536862419685349,VO,2,4,L2_cen3_L4.jpg,SearchResponse,left,2.519868839532137
83,m,,114.50416592601687,1.659267581999302e-05,VO,2,5,L1_cen1_r.jpg,DisplayFixation,,
83,m,,116.50611200020649,2.0019650370813906,VO,2,5,L1_cen1_r.jpg,SearchResponse,right,0.9849398517981172
83,m,,119.52583782724105,1.6197562217712402e-05,VO,2,6,L2_cen4_L4.jpg,DisplayFixation,,
83,m,,123.26325570372865,3.7374356545042247,VO,2,6,L2_cen4_L4.jpg,SearchResponse,left,2.7201054815668613
83,m,,126.2828116544988,1.6987556591629982e-05,VO,2,7,L1_per3_r.jpg,DisplayFixation,,
83,m,,128.13432177784853,1.8515290864743292,VO,2,7,L1_per3_r.jpg,SearchResponse,right,0.8348740742076188
83,m,,131.1541440000292,1.659267581999302e-05,VO,2,8,L2_per8_L1.jpg,DisplayFixation,,
83,m,,134.7076954075601,3.553569975309074,VO,2,8,L2_per8_L1.jpg,SearchResponse,left,2.5349329381715506
83,m,,137.72526972857304,4.345551133155823e-06,VO,2,9,L2_per1_R1.jpg,DisplayFixation,,
83,m,,140.4449548642151,2.7196902714204043,VO,2,9,L2_per1_R1.jpg,SearchResponse,right,1.7017066664993763
83,m,,143.46425797534175,5.530891939997673e-06,VO,2,10,L1_cen3_l.jpg,DisplayFixation,,
83,m,,145.3338145185262,1.869567209854722,VO,2,10,L1_cen3_l.jpg,SearchResponse,left,0.8523026171606034
83,m,,148.35483061731793,1.540733501315117e-05,VO,2,11,L1_per9_r.jpg,DisplayFixation,,
83,m,,151.79137580259703,3.4365625677164644,VO,2,11,L1_per9_r.jpg,SearchResponse,right,2.4199103210121393
83,m,,154.8110941236373,2.0938226953148842e-05,VO,2,12,L1_cen2_r.jpg,DisplayFixation,,
83,m,,156.76180266682059,1.950730666751042,VO,2,12,L1_cen2_r.jpg,SearchResponse,right,0.9336474074516445
83,m,,159.78279861737974,2.2123567759990692e-05,VO,2,13,L1_cen4_r.jpg,DisplayFixation,,
83,m,,161.6679766913876,1.88520138268359,VO,2,13,L1_cen4_r.jpg,SearchResponse,right,0.8677507159300148
83,m,,164.68753185193054,1.4222227036952972e-05,VO,2,14,L2_cen1_R3.jpg,DisplayFixation,,
83,m,,166.97311130864546,2.2855960493907332,VO,2,14,L2_cen1_R3.jpg,SearchResponse,right,1.2686384196858853
83,m,,169.9929979259614,1.540733501315117e-05,VO,2,15,L1_per4_l.jpg,DisplayFixation,,
83,m,,171.81152355577797,1.81854301225394,VO,2,15,L1_per4_l.jpg,SearchResponse,left,0.8016193578951061
83,m,,174.83119367901236,1.6197562217712402e-05,VO,2,16,L1_cen1_r.jpg,DisplayFixation,,
