respondent,sex,condition,exp_clock,trial_clock,block,block_nr,trial_nr,stim_id,event,value,responseTime
19,f,,1.066667027771473e-05,7.111113518476486e-06,Ratings,1,0,0,StartBlockRatings,,
19,f,,0.007035662652924657,5.530891939997673e-06,Ratings,1,1,microwaveoven.wav,DisplayFixation,,
19,f,,8.76331073185429,8.75628139032051,Ratings,1,1,microwaveoven.wav,valence_rating,0.47,5.941
19,f,,20.425216108793393,20.418187162373215,Ratings,1,1,microwaveoven.wav,arousal_rating,0.46,11.639
19,f,,20.4351084663067,7.111113518476486e-06,Ratings,1,2,cluckinghen.wav,DisplayFixation,,
19,f,,25.997519799508154,5.562419234542176,Ratings,1,2,cluckinghen.wav,valence_rating,0.68,2.713
19,f,,29.132878774777055,8.697779394919053,Ratings,1,2,cluckinghen.wav,arousal_rating,0.69,3.102
19,f,,29.14194505708292,8.296221494674683e-06,Ratings,1,3,growlingdog.wav,DisplayFixation,,
19,f,,37.17522312118672,8.033286755438894,Ratings,1,3,growlingdog.wav,valence_rating,0.69,5.183
19,f,,38.70991373015568,9.567977759521455,Ratings,1,3,growlingdog.wav,arousal_rating,0.68,1.5
19,f,,38.71860312321223,6.3211191445589066e-06,Ratings,1,4,firealarm.wav,DisplayFixation,,
19,f,,44.43144505447708,5.7128506225999445,Ratings,1,4,firealarm.wav,valence_rating,0.24,2.86
19,f,,50.52190205059014,11.80330643360503,Ratings,1,4,firealarm.wav,arousal_rating,0.71,6.058
19,f,,66.60526768025011,27.886671668151394,VO,2,0,firealarm.wav,StartBlockVO,,
19,f,,66.61552586522885,8.6913350969553e-06,VO,2,1,L2_cen3_L3.jpg,DisplayFixation,,
19,f,,69.72502051363699,3.1095084755215794,VO,2,1,L2_cen3_L3.jpg,SearchResponse,left,2.0861516082659364
19,f,,72.7450047347229,0.0003310621250420809,VO,2,2,L1_per9_l.jpg,DisplayFixation,,
19,f,,74.59648070693947,1.8517592316493392,VO,2,2,L1_per9_l.jpg,SearchResponse,left,0.8349785699974746
19,f,,77.61635944643058,1.540733501315117e-05,VO,2,3,L2_per1_R2.jpg,DisplayFixation,,
19,f,,81.48668502131477,3.8703433524351567,VO,2,3,L2_per1_R2.jpg,SearchResponse,right,2.8540699505247176
19,f,,84.50653926702216,1.5407567843794823e-05,VO,2,4,L1_per7_l.jpg,DisplayFixation,,
19,f,,86.24152364418842,1.7350013649556786,VO,2,4,L1_per7_l.jpg,SearchResponse,left,0.7188603088725358
19,f,,89.2612206551712,1.540733501315117e-05,VO,2,5,L1_cen4_l.jpg,DisplayFixation,,
